id,ref_number,name,street,city,state,postalcode,phone,status,tags,created_date,service_lines,comments,tech_comments,scheduling_comments,billing_comments,company_afp_job_number_id
2333163,2333163,"11-Worth Cafe","2419 Leavenworth Street",Omaha,NE,68105,"(402) 346-6924",active,,07/29/2019,,,,,,
1946728,1946728,"1623 Farnam LLC ","1623 Farnam Street",Omaha,NE,68102,"(402) 625-0381",active,,12/31/2018,,,,,,
2435800,2435800,"1623 Farnam, LLC","1623 Farnam Street",Omaha,NE,68102,"(402) 342-2656",active,,10/01/2019,,,,,,
1110871,1110871,"1st United Methodist Church","480 Main St",Springfield,NE,68059,402-253-2270,active,,10/20/2016,,,,,,
2660372,2660372,2660357,"Mobile Unit","Mobile Unit",TX,,,active,,12/31/2019,,,,,,
1951175249203457,4644047,"3030 Upland Parkway","3030 Upland Parkway",Omaha,NE,68107,,active,,03/10/2025,,,,,,
4970912,4643477,"325 VMH, LLC","427 East Kanesville Boulevard","Council Bluffs",IA,51503,,active,,02/24/2022,,,,,,
1763115432836417,4643991,3T,"701 Tillery Street",Austin,TX,78702,"(800) 220-2438",active,,10/28/2024,,,,,,
1763117909992577,4643992,"3T Oil and Gas Services LLC","701 Tillery Street, Ste 12",Austin,TX,78702,8002202438,active,,10/28/2024,,,,,,
695966371378305,4643644,"4 Views Academy","4821 Apple Hill Lane",Lincoln,NE,68506,"(402) 484-8196",active,,10/05/2022,,,,,,
1275183,1275183,"40th & Dodge Family Dentistry","111 North 40th Street",Omaha,NE,68131,"(402) 884-4400",active,,05/16/2017,,,,,,
2383256054208449,4644191,"4871 NW Radial Hwy","4871 Northwest Radial Highway",Omaha,NE,68104,,active,,01/09/2026,,,,,,
2383256726167105,4644192,"4871 NW Radial Hwy, LLC","4871 Northwest Radial Highway",Omaha,NE,68104,,active,,01/09/2026,,,,,,
981677064608833,4643756,"48th & Dodge Redevelopment","48th & Dodge",Omaha,NE,,,active,,04/25/2023,,,,,,
497771927092545,4643537,"4D Management Holdings, Inc","6290 McLeod Drive Ste 110","Las Vegas",NV,89120,,active,,05/18/2022,,,,,,
4858565,4643451,"55th Cyberspace Squadron, EITAAS Technical POC","109 Grant Cir, Offutt AFB, NE 68113","Offutt Air Force Base",NE,68113,"(402) 294-8762",active,,01/10/2022,,,,,,
1140064849386561,4643816,"72nd St. Retail","3321 South 72nd Street",Omaha,NE,68124,,active,,08/15/2023,,,,,,
882760727345153,4643714,"7400 Farnam St","212 South 74th Street",Omaha,NE,68114,,active,,02/14/2023,,,,,,
882769527445569,4643715,"7400 Farnam St Ste. 201","212 South 74th Street",Omaha,NE,68114,,active,,02/14/2023,,,,,,
479320477085185,4643527,"A Beautiful Place to Grow","5847 North 90th Street",Omaha,NE,68134,,active,,05/05/2022,,,,,,
4125469,4125469,"A E C Fire-Safety & Security Inc","3003 Stanton Street",Springfield,IL,62703,"(217) 529-3003",active,,04/27/2021,,,,,,
1209441784858305,4643844,"A- United Storage Building",123,Omaha,NE,,,active,,10/03/2023,,,,,,
